Title,Artist,Year,Additional information
"""Merry Christmas, Baby""",Johnny Moore's Three Blazers,1947,"The original version by Johnny Moore's Three Blazers peaked at No. 3 on Billboard magazine's R&B Juke Box chart during the Christmas season of 1947.[384] Charles Brown was the singer and pianist of Johnny Moore's Three Blazers. Brown also recorded a hit solo remake of the song in 1956.[158] Other versions that also charted were by Chuck Berry in 1958,[135][385] and by Otis Redding in 1968.[353] Bruce Springsteen also recorded a live version from a 1980 concert (first released in 1986 as a B-side)[386] that was made popular following its inclusion on the 1987 Special Olympics charity album A Very Special Christmas."
"""Merry Christmas Darling""",The Carpenters,1970,"Re-charted in 1971, 1972, 1973, and 1983.[15][387] Re-released in 1978 with newly recorded vocals for their 1978 holiday album Christmas Portrait.[388] Also a hit for Vanessa L. Williams in 2004.[389]"
"""Merry Christmas Everybody""",Train,2015,Peaked at No. 10 on the Billboard Adult Contemporary chart.[390] First recorded by the English rock band Slade in 1973.
"""Merry Christmas from the Family""",Robert Earl Keen,1994,From the album Gringo Honeymoon. A version by Montgomery Gentry also charted at No. 38 on Hot Country Songs in 2001.[87][391]
"""Merry Christmas, Happy Holidays""",'N Sync,1998,Hit the Top 40 Mainstream chart in 1999.[100]
"""Merry Christmas in the NFL""",Buckner & Garcia,1980,"Novelty song which imagined Howard Cosell as Santa Claus. Performed under the pseudonym ""Willis the Guard & Vigorish"", the song reached No. 82 on the Billboard charts, despite limited airplay after Cosell found the song offensive.[85]"
"""Merry Christmas Strait to You""",George Strait,1986,"First released on Strait's 1986 holiday album Merry Christmas Strait to You, but the title track didn't hit the Billboard Hot Country Singles chart until 1998.[145][392]"
"""Merry Merry Christmas Baby""",Dodie Stevens,1960,Covered by Margo Sylvia in 1994.
"""Merry Merry Merry Frickin' Christmas""",Frickin' A,2004,Two versions of the song. One is a tribute to the Boston Red Sox on their winning of the 2004 World Series. The other is a satire of spending time with the family.
"""Merry Twistmas""",The Marcels,1961,"Written to capitalize on the U.S. dance craze called ""The Twist""."
"""Mistletoe"" (1)",Colbie Caillat,2007,"Peaked at No. 75 on the Billboard Hot 100 singles chart and No. 44 on the Billboard Pop 100 chart in late 2007, and No. 7 on the Billboard Hot Adult Contemporary Tracks chart in early 2008.[393]"
"""Mistletoe"" (2)",Justin Bieber,2011,"Peaked at No. 11 on the Billboard Hot 100 singles chart, No. 5 on Billboard's Hot Digital Songs chart in 2011. Also peaked at No. 4 on Billboard's Adult Contemporary Tracks.[394]"
"""Mistletoe and Holly""",Frank Sinatra,1957,"Written by Frank Sinatra, Doc Stanford & Hank Sanicola. Selected as the theme song for the 1960 Christmas Seals appeal.[395]"
"""The Mistletoe and Me""",Isaac Hayes,1969,Charted again in 1973.[264]
"""Monsters' Holiday""",Bobby (Boris) Pickett and the Crypt-Kickers,1962,"Similar to Pickett's No. 1 pop hit single from earlier in 1962, ""Monster Mash"".[1][396]"
"""The More You Give (The More You'll Have)""",Michael Bublé,2015,Peaked at No. 19 on the Billboard Adult Contemporary chart in early 2016.
"""Mr. Hankey the Christmas Poo""",South Park,1997,"Song debuted in the South Park episode of the same name, has appeared in several others since."
"""Must Be Santa""",Lorne Greene with the Jimmy Joyce Children's Choir,1966,Written by Hal Moore and Bill Fredricks. First recorded by Mitch Miller and the Gang in 1961. Also covered by Bob Dylan in 2009.
"""My Boyfriend's Coming Home for Christmas""",Toni Wine,1963,"Includes elements of ""The First Noel"".[85]"
"""My Christmas Card to You""",The Partridge Family,1971,Written by Tony Romeo. From the Billboard #1 Christmas album of 1971 A Partridge Family Christmas Card.
"""My Favorite Things""",Herb Alpert & the Tijuana Brass,1968,"Originally written for the 1959 Broadway musical The Sound of Music. Charted for Herb Alpert and the Tijuana Brass, reaching No. 7 on the Billboard Easy Listening chart, #35 on the Cash Box Top 100, and #45 on the Billboard Hot 100 in early 1969.[2][397] Popular versions that charted include a minor hit for Lorrie Morgan in 1994,[87][398] a version by the band Chicago in 2001, and Kenny G in 2005.[399]"
"""My Mom and Santa Claus""",George Jones,1965,First released in 1962; charted for one week on the Billboard Christmas charts in 1965.[10]
"""My Only Wish (This Year)""",Britney Spears,2000,Reached No. 7 on the Christmas Songs chart.[400]
"""Natividad (Nativity)""",Harvie June Van,1967,First released on Briar Records in 1962. Re-issue on Kapp Records peaked at No. 15 on Billboard's Christmas Singles chart.[13]
"""New Year's Eve 1999""",Alabama with Gretchen Peters,1999,Peaked at No. 55 on Billboard's Hot Country Singles & Tracks chart in early 2000.[39]
"""A New York Christmas""",Rob Thomas,2003,Peaked at No. 22 on Billboard's Hot 100 Singles Sales chart.[12]
"""The Night Before Christmas"" (1)",Milton Cross,1939,"Peaked at No. 6 on Billboard's Best-Selling Children's Records chart in 1948. Recitation of Clement Moore's famous 1823 poem ""A Visit from St. Nicholas"" with musical background orchestrated by Victor Salon. Originally released in 1939.[189] A version by Jim Brickman featuring John Oates peaked at No. 5 on Billboard's Adult Contemporary chart in 2014.[401]"
"""The Night Before Christmas"" (2)",Carly Simon,1992,Written and recorded by Simon for the 1992 film This Is My Life; also used in the 1994 film Mixed Nuts. Covered by Amy Grant in 1992.
"""The Night Before Christmas Song""",Rosemary Clooney & Gene Autry,1952,"Peaked at No. 9 on Billboard's Top Popular Records – Most Played by Jockeys chart in late December 1952.[214][402] A recording of Clement Moore's famous 1823 poem ""A Visit from St. Nicholas"" featuring a melody written by Johnny Marks and orchestration by Carl Cotner."
"""The Night Santa Went Crazy""","""Weird Al"" Yankovic",1996,"Parody of Greg Lake's ""I Believe in Father Christmas"" in the style of Soul Asylum's ""Black Gold"".[403] Two versions were recorded."
"""Nina-Non""",Joni James,1953,Featuring orchestra and chorus conducted by Lew Douglas.
"""A Not So Merry Christmas""",Bobby Vee,1962,From the album Merry Christmas from Bobby Vee.
"""The Nutcracker Suite""",Arthur Fiedler and the Boston Pops,1958,"Also a hit for the Berlin Symphony Orchestra and many others around the world. Introduced in a stylized jazz-big band version by Les Brown in the 1957 album Concert Modern. Other hit rock versions by The Brian Setzer Orchestra and Trans-Siberian Orchestra. Latter's version retitled ""A Mad Russian's Christmas""."
"""Nuttin' for Christmas""",Art Mooney and His OrchestraVocal by Barry Gordon,1955,"Peaked at No. 6 on Billboard's Popular Records – Best Sellers in Stores chart in 1956.[93][404] Versions by four other artists charted in December 1955 and early 1956 on one or more of Billboard's music popularity charts: Joe Ward,[13] Ricky Zahnd & The Blue Jeaners (titled ""(I'm Gettin') Nuttin' for Christmas""),[272] The Fontane Sisters,[74][405] and Stan Freberg.[131] Written by Sid Tepper and Roy C. Bennett. Eartha Kitt released a version in 1955 with different lyrics titled ""Nothin' for Christmas"" with the same writer credits. Also covered by the rock group Smash Mouth."
"""O Bambino (One Cold and Blessed Winter)""",Harry Simeone Chorale,1964,"Peaked at No. 9 on Billboard's Christmas Singles chart. Charted again on the Christmas Singles chart and Billboard's Bubbling Under Hot 100 Singles chart in 1965.[53][406] Introduced in 1961 by The Springfields as ""Bambino (Napoli Lullaby)"". Same melody as ""Bagpiper's Carol"" by The Mariners."
"""O Come All Ye Faithful""",Twisted Sister,2006,"Performed in the style of their hit ""We're Not Gonna Take It"", while staying faithful to the carol's original words and melody."
"""O Holy Night""",John Berry,1995,"Peaked at No. 55 on Billboard's Hot Country Singles & Tracks chart in 1996.[135][407] A 19th-century French carol, originally titled ""Cantique de Noël."" First known recorded version was released in 1916 by Enrico Caruso. First appearance on a popular Christmas album was in 1946 by Fred Waring. Other charted versions were by Mariah Carey (1994),[408] Martina McBride (1996),[47][409] Celine Dion (1998),[410] Josh Groban (2002),[186][411] LeAnn Rimes (2003),[353][412] Clay Aiken (2004),[413] Carrie Underwood (2009),[414] Newsboys (2010), and Richard Marx (2012). Dion's version was featured as the leading song to her popular 1998 album These Are Special Times.[415]"
"""O Little Town Of Bethlehem""",Jo Stafford,1964,"On her album, ""The Joyful Season"", it features Stafford accompanying herself as a vocal choir through the use of multitrack recording."
"""O Tannenbaum""",Vince Guaraldi Trio,1965,Originally composed by Ernst Anschütz and performed by the Vince Guaraldi Trio for the 1965 animated TV special A Charlie Brown Christmas. A version by Aretha Franklin appeared on the 1992 album A Very Special Christmas 2.
"""Oh Santa!""",Mariah Carey,2010,"First single released from Carey's second holiday album, Merry Christmas II You. Spent four weeks at No. 1 on Billboard's Adult Contemporary chart in December 2010 and early 2011.[416] Debuted at No. 1 on Billboard's Holiday Digital Songs chart on the week ending October 30, 2010."
"""Oh Santa!""",Mariah Carey Featuring Ariana Grande & Jennifer Hudson,2020,"New version of Carey's 2010 single released on the soundtrack to Mariah Carey's Magical Christmas Special. Made these Billboard music charts (with peak positions shown): Adult Contemporary (No. 17), Digital Song Sales (No. 3), Hot 100 (No. 76), Holiday 100 (No. 45), Holiday Digital Song Sales (No. 1), Hot R&B/Hip-Hop Songs (No. 20), R&B Digital Song Sales (No. 1), R&B Songs (No. 4), R&B Streaming Songs (No. 15), and R&B/Hip-Hop Digital Song Sales (No. 1).[417]"
"""Oi to the World""",The Vandals,1996,Covered by No Doubt in 1997.
"""Oíche Chiún (Silent Night)""",Enya,1988,"Peaked at No. 117 on Billboard's Bubbling Under Hot 100 Singles chart in 1995. Also charted on Billboard's Hot 100 Singles Sales chart in 2000, 2002, 2003 and 2004, peaking at No. 11. The classic 1818 Franz Gruber carol sung in Gaelic.[126][418] Originally released as a B-side of Enya's 1988 single, ""Evening Falls"". Later released as the main track on a three-song EP in 1994, which was also the best-selling Christmas single in the U.S. for 10 years (1994–2004)."
"""An Old Christmas Card""",Jim Reeves,1963,From the album Twelve Songs of Christmas. Reached the Music Vendor Christmas chart the same year.
"""The Old Man's Back in Town""",Garth Brooks,1992,"Peaked at No. 48 on Billboard's Hot Country Singles & Tracks chart in 1993 (charted again on the same Billboard chart in 1998, peaking at No. 59).[72][419] Included on Brooks's first holiday album, Beyond the Season."
"""Old Time Christmas""",George Strait,1999,Peaked at No. 62 on Billboard's Hot Country Singles & Tracks chart in 2000.[115][420]
"""Old Toy Trains""",Roger Miller,1967,Peaked at No. 13 on Billboard's Christmas Singles chart.[278] A 2000 version by Toby Keith peaked at No. 57 on Billboard's Hot Country Singles & Tracks chart in early 2001.[10][421]
"""One Wish (for Christmas)""",Whitney Houston,2003,"Peaked at No. 23 on Billboard's Hot Adult Contemporary chart in 2004.[36][422] Originally recorded by Freddie Jackson and included on his 1994 holiday album, Freddie Jackson at Christmas."
"""Our Winter Love""",Bill Pursell,1963,"Instrumental track that peaked at No. 9 on the Billboard Hot 100 singles chart and at No. 4 on Billboard's Middle-Road Singles chart in late March 1963, and at No. 20 on Billboard's Hot R&B Singles chart in April 1963.[38][423] A vocal version by The Lettermen peaked at No. 16 on Billboard's Top 40 Easy Listening chart and No. 72 on Billboard's Hot 100 singles chart in February 1967.[173]"
"""Paper Angels""",Jimmy Wayne,2003,Peaked at No. 18 on Billboard's Hot Country Singles & Tracks chart in early 2004.[55][424]
"""Parade of the Wooden Soldiers""",Vincent Lopez Orchestra,1922,"The Vincent Lopez Orchestra version peaked at No. 3 on the pop singles chart in September 1922.[34][425] Other charted versions include Carl Fenton's Orchestra (1922),[57] and Paul Whiteman and His Orchestra (1923).[55][426] Music written in 1897 by Leon Jessel and popularized by Nikita Balieff's 1920s musical revue La Chauve-Souris. A version by The Crystals was also included on Phil Spector's 1963 holiday album, A Christmas Gift for You from Philles Records."
"""Peace on Earth/Little Drummer Boy""",David Bowie & Bing Crosby,1982,"Originally performed on September 11, 1977 for Crosby's final holiday television special, Bing Crosby's Merrie Olde Christmas, and first released as a single in 1982. Appeared on Billboard's Hot 100 Singles Sales chart in 2000, 2001, 2003 and 2004, peaking at No. 43.[147][427] A video clip of the performance from the Crosby television special became a holiday staple on MTV during the holiday season for much of the 1980s."
"""Pick Out a Christmas Tree""",Dan + Shay,2021,"Peaked at No. 77 on the Billboard Hot 100 chart and at No. 14 on the Billboard Hot Country Songs chart in December 2021. Also made these other Billboard music charts (with peak positions shown): Country Streaming Songs (No. 7), Holiday 100 (No. 48), and Holiday Streaming Songs (No. 33).[428]"
"""Please Come Home for Christmas""",Charles Brown,1960,"Peaked at No. 21 on Billboard's Hot R&B Sides chart on the week ending January 8, 1961, and at No. 76 on Billboard's Hot 100 chart on the week ending January 7, 1962. Also made Billboard's Christmas Singles chart each December from 1963 to 1970 and again in both 1972 and 1973, peaking at No. 1 on the week ending December 16, 1972.[158][429] Written by Brown and Gene Redd."
"""Please Come Home for Christmas""",The Uniques,1967,"Peaked at No. 32 on Billboard's Christmas Singles chart on the week ending December 23, 1967.[83]"
"""Please Come Home for Christmas""",Eagles,1978,"Peaked at No. 18 on Billboard's Hot 100 chart on the week ending January 6, 1979, and at No. 15 on Billboard's Adult Contemporary chart on the week ending January 10, 1998.[126][430] Also made these other Billboard music charts (with peak positions shown): Adult Top 40 Airplay (No. 31), Digital Song Sales (No. 74), Global 200 (No. 63), Heritage Rock (No. 37), Holiday 100 (No. 18), Holiday Airplay (No. 2), Holiday Digital Song Sales (No. 29), Holiday Streaming Songs (No. 24), Hot 100 Recurrents (No. 5), Rock Digital Song Sales (No. 11), Rock Streaming Songs (No. 3), and Streaming Songs (No. 37).[431]"
"""Please Come Home for Christmas""",Gary Allan,1996,"Debuted and peaked at No. 70 on Billboard's Hot Country Singles & Tracks chart on the week ending January 11, 1997.[39]"
"""Please Come Home for Christmas""",Lee Roy Parnell,1996,"Debuted and peaked at No. 71 on Billboard's Hot Country Singles & Tracks chart on the week ending January 11, 1997.[150]"
"""Please Come Home for Christmas""",Willie Nelson,2003,"Debuted and peaked at No. 50 on Billboard's Hot Country Singles & Tracks chart on the week ending January 3, 2004.[100][432]"
"""Please Come Home for Christmas""",Josh Gracin,2005,"Debuted and peaked at No. 51 on Billboard's Hot Country Songs chart on the week ending January 7, 2006.[433][434]"
"""Please Come Home for Christmas""",Martina McBride,2011,"Debuted and peaked at No. 51 on Billboard's Hot Country Songs chart on the week ending January 7, 2012.[435][436]"
"""Please Come Home for Christmas""",Kelly Clarkson,2013,"Peaked at No. 6 on Billboard's Adult Contemporary chart on the week ending January 4, 2014, and at No. 14 on Billboard's Holiday Digital Song Sales chart on the week ending November 16, 2013.[437]"
"""Please, Daddy (Don't Get Drunk This Christmas)""",John Denver,1973,"Peaked at No. 7 on Billboard's Christmas Singles chart in 1973, and at No. 69 on both the Billboard Hot 100 singles and Billboard's Hot Country Singles charts in early 1974.[113][438] Written by Bill Danoff and Taffy Nivert. Recorded for Denver's Farewell Andromeda album; on original LP and single releases the song's title was displayed as simply ""Please, Daddy"". Re-recorded for Denver's Rocky Mountain Christmas album in 1975. The song has been covered by other artists, such as Alan Jackson (1993) and The Decemberists (2006)."
"""Please Uncle Sam (Send Back My Man)""",The Charmels,1966,"An early Stax/Volt single, in which a lonely Christmas is expected due to the singer's lover being in Vietnam."
"""Po' Folks' Christmas""",Bill Anderson and The Po' Boys,1968,Peaked at No. 18 on Billboard's Christmas Singles chart.[2][439]
"""Presents for Christmas""",Solomon Burke,1968,Released on the 1968 various artists holiday soul album Soul Christmas.
"""Pretty Paper""",Roy Orbison,1963,"Peaked at No. 15 on the Billboard Hot 100 singles chart and No. 10 on Billboard's Middle-Road Singles chart in 1964. Also charted on Billboard's Christmas Singles chart, peaking at No. 27.[150][440] Written by Willie Nelson. The original recording by Orbison was arranged by Bill Justis, with orchestra and chorus conducted by Ivor Raymonde. A 2003 version by Kenny Chesney featuring Willie Nelson peaked at No. 45 on Billboard's Hot Country Singles & Tracks chart in 2004.[8][441] Nelson himself released two versions: his original 1964 version (for RCA Records) and a re-recording in 1979 as the title track of his holiday album released that year."
"""Put a Little Holiday in Your Heart""",LeAnn Rimes,1996,Peaked at No. 51 on Billboard's Hot Country Singles & Tracks chart in 1997. Single available only as a bonus CD with the purchase of Rimes's 1996 studio album Blue at Target stores during the 1996 holiday season.[353][442]
"""Put Christ Back Into Christmas""",Red Foley with The Anita Kerr Singers,1953,Peaked at No. 23 on the pop singles chart.[74]
"""The Real Meaning of Christmas""",Ray Conniff and The Singers,1965,Peaked at No. 19 on Billboard's Christmas Singles chart.[96]
"""Redneck 12 Days of Christmas""",Jeff Foxworthy,1995,"Peaked at No. 18 on Billboard's Hot Country Singles & Tracks chart in 1996. Parody of the traditional English song ""Twelve Days of Christmas"".[443] A 2000 cover version by the Redneck Carollers also featured Foxworthy on lead vocals."
"""Reindeer Boogie""",Trisha Yearwood,1994,Peaked at No. 63 on Billboard's Hot Country Singles & Tracks chart in 1999.[272][444] First recorded by Hank Snow in 1953.
"""Remember Bethlehem""",Dee Mullins,1970,Peaked at No. 71 on Billboard's Hot Country Singles chart in 1971.[87]
"""Ring Out, Solstice Bells""",Jethro Tull,1976,From the album Songs from the Wood.
"""Ring Those Christmas Bells""",Peggy Lee,1953,Written by Marvin Fisher and Gus Levene. Also recorded by Lawrence Welk (1957) and Fred Waring (1959).
"""River""",Barry Manilow,2002,"Peaked at No. 17 on Billboard's Adult Contemporary chart in 2003, and included on his 2002 holiday album, A Christmas Gift of Love.[5] Also recorded by Sarah McLachlan (2006).[445] Written and originally recorded by Joni Mitchell, whose original version is included on her 1971 non-holiday studio album, Blue."
"""Rock and Roll Christmas""",George Thorogood & the Destroyers,1983,
"""Rockin' Around the Christmas Tree""",Brenda Lee,1958,"Written by Johnny Marks. First entered the Billboard Hot 100 singles chart at No. 64 for the week ending December 18, 1960, originally peaking at No. 14 for the week ending January 1, 1961. The single re-entered the Hot 100 chart eight times (in 1961, 1962, 2013, 2015, 2016, 2017, 2018, and 2019), eventually peaking at No. 2 for two weeks on the Hot 100 charts dated December 28, 2019 and January 4, 2020, making it the single with the longest chart run to No. 2 (at 59 years, one week, and three days).[173][446][447] The B-side of Lee's original single (Decca 30776) is ""Papa Noël"", a holiday song written by Roy Botkin."
"""Rockin' Around the Christmas Tree""",Alabama,1996,"Peaked at No. 64 on the Billboard Hot Country Singles & Tracks chart on the week ending January 8, 2000.[39]"
"""Rockin' Around the Christmas Tree""",LeAnn Rimes,2004,"Peaked at No. 3 on the Billboard Adult Contemporary chart on the week ending January 8, 2005,[448] and at No. 30 on the Billboard Holiday Airplay chart on the week ending November 27, 2010.[449][450]"
"""Rockin' Around the Christmas Tree""",MercyMe,2005,"Peaked at No. 25 on the Billboard Hot Adult Contemporary chart on the week ending January 7, 2006.[451][452]"
"""Rockin' Little Christmas""",Carlene Carter,1995,Reached No. 66 on the Hot Country Singles chart.[15] Covered by Brooks & Dunn in 2002.[453]
"""Rudolph, the Red-Nosed Reindeer""",Gene Autry & the Pinafores,1949,"Spent eight weeks at No. 1 on Billboard's Children's Records chart from late November 1949 through mid January 1950. Also peaked at No. 1 on both Billboard's Best-Selling Pop Singles and Billboard's Country & Western Records Most Played by Folk Disk Jockeys charts in early 1950. Autry recorded an updated version of the song in 1957 that featured orchestration by Carl Cotner, which peaked at No. 70 on Billboard's Top 100 Sides chart.[214][454] Covered by many artists through the years, including charted versions by Bing Crosby (1950),[189] Spike Jones and his City Slickers (1950),[10] Red Foley (1951),[74] The Cadillacs (1957),[91] Paul Anka (1960),[2] The Chipmunks (1960),[8] The Temptations (1968),[12] and Alan Jackson (1996).[76][455]"
"""Run Rudolph Run""",Chuck Berry,1958,"First entered the Billboard Hot 100 singles chart on the week ending December 15, 1958, originally peaking at No. 69 two weeks later.[135][456] Re-entered the Hot 100 chart on the week ending January 5, 2019, reaching an overall peak position of No. 10 on the week ending January 2, 2021, following its third chart re-entry.[457] The B-side of Berry's original single is another holiday tune, a cover of ""Merry Christmas Baby,"" which also charted on the Hot 100 in December 1958, peaking at No. 71.[135]"
"""Run Rudolph Run""",Luke Bryan,2008,"Peaked at No. 42 on the Billboard Hot Country Songs chart on the week ending January 10, 2009.[458][459]"
"""Same Old Lang Syne""",Dan Fogelberg,1980,Peaked at No. 9 on the Billboard Hot 100 singles chart and No. 8 on Billboard's Adult Contemporary chart in February 1981.[57][460]
"""Santa Baby""",Eartha Kitt with Henri Rene & His Orchestra,1953,"Written by Tony Springer, Phil Springer & Joan Javits.[45][461] In 1954, Eartha Kitt recorded a new version of the song with new lyrics titled ""This Year's Santa Baby"", while Homer & Jethro also recorded a version titled ""Santy Baby"" in 1954. Later covered by Mae West (1966), Madonna (1987), Kylie Minogue (2000), and Kellie Pickler (2007).[462]"
"""Santa Baby (Gimme, Gimme, Gimme)""",Willa Ford,2001,The lead single from the album MTV: TRL Christmas.
"""Santa Bring My Baby Back (To Me)""",Elvis Presley,1957,Written by Aaron Schroeder and Claude DeMetruis.
"""Santa Claus and His Old Lady""",Cheech & Chong,1971,"Spoken comedy record. Peaked at No. 4 on the Billboard Christmas Singles chart in 1971 (as well as No. 38 on the Billboard Hot 100), and the following year peaked at a new high of No. 3.[8][463]"
"""The Santa Claus Boogie""",The Tractors,1994,Re-charted on the Hot Country Singles and Hot 100 charts in 1995.[83]
"""Santa Claus Go Straight to the Ghetto""",James Brown,1968,Recharted in 1969. A new version from the album James Brown's Funky Christmas reached the R&B charts in 1998.[464][465]
"""Santa Claus Got Stuck in My Chimney""",Ella Fitzgerald,1950,
"""Santa Claus Is Back in Town""",Elvis Presley,1957,Written by Jerry Leiber and Mike Stoller. A 1997 version by Dwight Yoakam peaked at No. 60 on Billboard's Hot Country Singles & Tracks chart in early 1998.[272][466]
"""Santa Claus Is Comin' (In a Boogie Woogie Choo Choo Train)""",The Tractors,1995,"Reached No. 43 on the Country charts in 1996.[83][164][467] Rewriting of the group's biggest hit, ""Baby Likes to Rock It""."
"""Santa Claus Is Comin' to Town""",George Hall and the Hotel Taft Orchestra,1934,"Written in 1933 by Haven Gillespie and J. Fred Coots.[186][468] The Jackson 5's 1970 version hit No. 1 on Billboard's Christmas Singles chart, and charted again in 1971 and 1973.[76][469] Bruce Springsteen's 'live' version was recorded on December 12, 1975 at C.W. Post College in Greenvale, New York, and first released as a promotional single by Columbia Records in 1981.[145] Other notable hit versions were by Bing Crosby and The Andrews Sisters (1943),[2] The 4 Seasons (1962),[74][470] The Crystals (1963), The Carpenters (1975), Mariah Carey (1994),[471] George Strait (1995),[145] Lonestar (2000),[34][472] Steve Tyrell (2002),[83][473] Barry Manilow (2002), Harry Connick Jr. (2003),[96][474] and Michael Bublé (2011)."
"""Santa Claus Is Definitely Here to Stay""",James Brown,1970,Reached No. 7 on the Christmas Chart in 1970.[91]
"""Santa Claus Is Watching You""",Ray Stevens,1962,Featuring backing vocals by the Merry Melody Singers.[145][475]
"""Santa Claus Lane""",Hilary Duff,2002,Title track from the album Santa Claus Lane. Also used in the movie The Santa Clause 2.
"""Santa Got Lost In Texas""",Jeff Carson,1996,"Based on the melody of ""The Eyes of Texas"", with lyrics rewritten by Ken Darby. Originally recorded by Michael Landon in 1963 for the album Bonanza: Christmas on the Ponderosa.[15]"
"""Santa, I'm Right Here""",Toby Keith,1995,Peaked at No. 50 on the Billboard Hot Country Singles chart.[10]
"""Santa Looked a Lot Like Daddy""",Buck Owens,1965,"Reached No. 2 on the Pop charts in 1965.[150][164] Charted again by Buck Owens in 1967, and by Garth Brooks in 1998.[72][476]"
"""Santa Tell Me""",Ariana Grande,2014,"Co-written by Grande. Made these Billboard charts (with peak positions shown): Adult Contemporary (No. 7), Adult Top 40 (No. 39), Digital Song Sales (No. 24), Global 200 (No. 5), Holiday 100 (No. 1), Holiday Airplay (No. 22), Holiday Digital Song Sales (No. 1), Holiday Streaming Songs (No. 1), Hot 100 (No. 17), Hot 100 Recurrents (No. 5), Mainstream Top 40 (No. 39), and Streaming Songs (No. 14).[477][478]"
"""Santa's a Fat Bitch""",Insane Clown Posse,1997,Only single ever charted by this group on the Billboard Hot 100.[36]
"""Santa's Coming for Us""",Sia,2017,Spent three weeks at No. 1 on the Billboard Adult Contemporary chart from December 2017 to early 2018; also peaked at No. 9 on the Billboard Holiday Digital Song Sales chart in November 2017 and at No. 51 on the Billboard Holiday 100 chart.
"""Santa's Gonna Come in a Pickup Truck""",Redneck Carollers,2000,"Originally recorded by Alan Jackson and Alvin & the Chipmunks in 1993. The song is a redneck style parody of ""The Chipmunk Song""."
"""Santa's Got a Semi""",Keith Harling,1999,From the album Bring It On. Re-charted in 2000 from the various artists album A Christmas Collection.[186]
"""Save the Best for Last (Christmas version)""",Vanessa L. Williams,1992,"Previously a No. 1 U.S. hit for 5 weeks as a non-holiday single, was reworked with a new snowy theme and wintry music video, popular on MTV for many years."
"""Season of Love""",98 Degrees,2017,Peaked at No. 18 on Billboard's Adult Contemporary chart.
"""The Secret of Christmas""",Bing Crosby,1959,"Written by Sammy Cahn and Jimmy Van Heusen. Performed by Crosby in the 1959 film Say One for Me. Crosby re-recorded the song in 1964 for the album 12 Songs of Christmas.[189] Other versions recorded by Ella Fitzgerald (1959), Johnny Mathis (1963), Julie Andrews (1982)."
"""Sending You a Little Christmas""",Jim Brickman featuring Kristy Starling,2003,Peaked at No. 1 on the Billboard Hot Adult Contemporary Tracks chart during the Christmas season of 2003.[72][479]
"""Shake Hands with Santa Claus""",Louis Prima & His Orchestra,1951,
"""Shake Up Christmas""",Train,2010,Peaked at No. 12 on Billboard's Hot Adult Contemporary Tracks chart.[480]
"""Silent Night""",Bing Crosby,1935,"Written on Christmas Eve in 1818 in Germany by Franz Gruber under the title ""Stille Nacht, heilige Nacht"". Crosby's original hit version features the Victor Young Orchestra and backing vocals by the Guardsmen Quartet.[3][481] First known recorded version in the U.S. was by Paul Whiteman and His Orchestra in 1928.[55][482] Other hit versions were by The Ravens (1948),[353][483] Sister Rosetta Tharpe (1949),[12][484] Mahalia Jackson (1962),[76] Barbra Streisand (1966),[115] The Temptations (1969),[12][485] Enya (1994), Mariah Carey (1994),[486] Kenny Chesney (2004),[8] MercyMe (2004),[487] Peter Cetera (2005),[488] Josh Groban (2007),[489] and Kelly Clarkson (2013).[490]"
"""Silver and Gold""",Burl Ives,1964,"Written for the classic 1964 TV special, Rudolph, the Red-Nosed Reindeer.[491]"
"""Silver Bells""",Bing Crosby & Carole Richards,1950,"Written by Jay Livingston and Ray Evans, and later used in the 1951 film The Lemon Drop Kid starring Bob Hope.[189][492] Other popular versions were also recorded by Johnny Mathis (1958), Doris Day (1964), Jo Stafford (1964), Al Martino (1964),[47] The Supremes (1965), Kate Smith (1966),[493][494] Earl Grant (1966),[93] Kenny G (1994), Kimberley Locke (2003),[39][495] Kenny Chesney (2004),[8] Lady Antebellum (2011),[496] and Whitney Wolanin (2014)."
"""Six Tons of Toys""",Paul Brandt,1998,"New lyrics to Dave Dudley's 1963 hit ""Six Days on the Road"". Reached No. 66 on the Hot Country Singles chart in 1999.[72]"
"""Sleigh Ride""",Arthur Fiedler and the Boston Pops,1949,"Original instrumental recording; debuted and peaked at No. 24 on the Billboard Best-Selling Pop Singles chart on the week ending December 16, 1949.[147][497] Written in 1946, it was also recorded in 1950 by the song's composer, Leroy Anderson. A popular 1958 version by Johnny Mathis (backed by the Percy Faith Orchestra) was an early recording of the vocal version, with lyrics written by Mitchell Parrish."
"""Sleigh Ride""",The Ronettes,1963,"Included on the 1963 holiday album A Christmas Gift for You from Phil Spector. First entered Billboard's Hot 100 chart on the week ending December 22, 2018, peaking at No. 13 on the week ending January 2, 2021, following its second chart re-entry. Also made these other Billboard music charts (with peak positions shown): Global 200 (No. 13), Holiday 100 (No. 9), Holiday Airplay (No. 9), Holiday Digital Song Sales (No. 7), Holiday Streaming Songs (No. 6), Hot 100 Recurrents (No. 1), R&B Digital Song Sales (No. 19), R&B Streaming Songs (No. 1), R&B/Hip-Hop Digital Song Sales (No. 39), R&B/Hip-Hop Streaming Songs (No. 1), and Streaming Songs (No. 8).[498]"
"""Sleigh Ride""",Dolly Parton,1984,"Medley with ""Winter Wonderland""; peaked at No. 6 on the Billboard Christmas Hits - Singles chart on the week ending December 22, 1984.[1]"
